date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KHC,KLAC,LBTYA,LRCX,MAR,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,NFLX,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,REGN,ROST,SBUX,SIRI,SNPS,STX,SWKS,SYMC,TMUS,TSLA,TTWO,TXN,ULTA,VOD,VRSK,VRTX,WBA,WDAY,WDC,WYNN,XLNX,XRAY,Port_Ret
2006-03-31,,-0.12755598831548165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04892601431980914,,,,,,,,,,,0.4596518987341771,,,,,,,,,,,,,,,,0.5994163177261769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.510956061617037
2006-06-30,,,,,,,,,,,,,,,,,0.07078986587183311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24884210526315798,,,,,,,,,,,,,0.5102737009123364,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032795845859523443,,,,,,,20.829631415831994
2006-09-29,,,,,,,,,,,,,,,,,-0.009742519137091121,,,-0.0870756904912503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11395819285232633,,,,,,,,,,,,,-0.31753952828702015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.509988626575881
2006-12-29,0.21475298894648542,,,,,,,,,,,,,,,,0.15179198875614897,,,,,,,,,,,,0.04256181597082631,,,,,,,,,,,,,,,,,,,,0.18976997578692512,,,,,,,,,,,,,0.036945812807881895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.716451645365353
2007-03-30,,,,,,,0.1352899069434501,,,,,,,,,,,,,-0.08812793325221624,,,,,,,,,0.14398652151373748,,,,,,,,,,,,,,,,,,,,-0.2546425845840753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01076185402237484,,,-1.0546447071345821
2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,0.0836223506744116,,,,,,,,,,,,,,,,,,,,,0.10307477288612543,,,,,,,,,,,,0.2462799878530213,,-0.1153975881731032,,,,,,,,,,,,0.18926308125872016,,,,,,,,,,,,,,,,,,,,,,,,,10.136852089983506
2007-09-28,,0.25753851196329003,,,,,,,,,,0.1564006427423672,,0.7243124181450173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10741543535029352,,,,,,,,,,,,-0.0004873294346974255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.606976161313675
2007-12-31,,0.290675702091596,,,,,,,,,,,,0.34576212670464335,,,,,,,,,,,,,,,,,,,,,,-0.008155583437896574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.061258278145679856,,,,,,,,,,,,,,,,,,,,,,,,,-0.2559272530868093,,,6.221934282517072
2008-03-31,,-0.2755452342487762,,,,,,,,,,,,-0.3852488455618265,,,-0.0008474576271186862,,,,,,,,,,,,,,,,,,-0.11890410958904118,,,,,,,,,,,,,-0.15981579396213552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.80722881977796
2008-06-30,,,,,,,,,,,,0.24752837788355886,,0.30601343738263154,,,-0.1806615776081424,,,,,,,,,,,,,,,,,,-0.02487562189054715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2769970414200926,,,,12.500033143751871
