date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KHC,KLAC,LBTYA,LRCX,MAR,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,NFLX,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,REGN,ROST,SBUX,SIRI,SNPS,STX,SWKS,SYMC,TMUS,TSLA,TTWO,TXN,ULTA,VOD,VRSK,VRTX,WBA,WDAY,WDC,WYNN,XLNX,XRAY
2001-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,CSX,,,,,DLTR,,,,,,,FISV,,,,,,,,,,,,,,ISRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-31,,,,,,,,,,,,,,,,,,,,,,,,,COST,,,CTAS,CTSH,,,,,,,,,,,,,,,,HAS,,,,,,INTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-30,,,,,,,,,,,,,,,,,,,,,,,,,COST,,,CTAS,,,,,,,ESRX,,,,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-29,,,,,,,,,,,,,,,,,,,,,,,,,COST,,,,,,,DLTR,,EBAY,,,,,,,,,,,,,,,,,,,,,,,,,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTAS,,,,,,,,,FAST,,,,,,,,,,HSIC,,,,,,,,,,,,,,,,,,,,,,,,PCAR,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-30,,,,,,,,,,,,,,,,,,,,,,CHKP,,,,,,,,,,,,,,,,,,FOX,,,,,,,,,,,,,,,,,,,,,,,MSFT,,,,,,,,,,,,,SBUX,,,,,,,,,,,,,,,,,,,
2003-08-29,,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOX,,,,,HAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNPS,,,,,,,,,,,,,,,,,
2003-11-28,,,,ADI,,,,,,,,,,,,,,,,,,,,,,CSCO,,,,,,,,,,,,,,,,,,,,,HSIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TXN,,,,,,,,,,
2004-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTXS,,,,EBAY,,,,,,,,,,,,,HSIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STX,,,,,,,,,,,,,,,,
2004-05-31,,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOXA,,,,,,HSIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XRAY
2004-08-31,,,,,,,,ALXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WBA,,,,,XRAY
2004-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOXA,,,,,,,,,,,,,,,,,,,,,,MSFT,,,,,,,,,,,,,,,,,,,,,,,,VOD,,,,,,,,XRAY
2005-02-28,,,,,,,,,,,,,,,BIIB,,,,,,,,,,,,,,,,,,,EBAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORLY,,,,,,,,,,,,SYMC,,,,,,,,,,,,,,
2005-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FISV,,,,,,,,HSIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VOD,,,,,,,,XRAY
2005-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSIC,,,,,,,,,,LBTYA,LRCX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WBA,,,,,
2005-11-30,,,,,,,,,,,,,,,,,,,CDNS,,,,,,,,CSX,,,CTXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WBA,,,,,
2006-02-28,,,,,,,,ALXN,,,,,,,,,,,CDNS,,,,,,,,CSX,,,,,,,,,,,,,,,,,,,,HSIC,,,,,,,,,,,,,,,,,,,,,,ORLY,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-31,,,,,,,,,,,,,,,,,,,CDNS,,,,,,,,,,CTSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYL,,,,,,,,,,,,,,,,,,,TXN,,,,,,,,,,
2006-08-31,,,,,,,,ALXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAST,,,FOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XRAY
2006-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDLZ,,,,,,,,,,PCAR,,,,,,,,STX,,,,,,,,,,,,,WDC,,,
2007-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INCY,,,,,,,,,,,MDLZ,,MSFT,,,,,,,,,,,,,,,SNPS,,,,,,,,,,,,,,,,,
2007-05-31,,,,,,,,,,,,,,,,,,,,,,,,CMCSA,,,CSX,,,,,,,,ESRX,,,,,,,,,,,,,,,,,,,,,,,,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-31,,,,,,,,,,,,,,,,,,,CDNS,,,CHKP,,,,CSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNPS,,,,,,,,,,,,,,,,,
2007-11-30,,,,,,,,,,,,,,,,,,,,,,,,,COST,,,,,,,,,,,,,,,,,,,,,,,,,,INTC,,,,,,,,,,,,MSFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XRAY
2008-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTXS,,,,,,,,,,,,,,,,,HSIC,,,,INTC,,,,,,,,,,,MNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-30,,,,,,,,,,,,,,,,,,,,CELG,,,,,,,,,,,,,,,,EXPE,,,,,,,,,,,HSIC,,,,INTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-29,,,,,,,,,,,,,,,,,,CA,,,,CHKP,,,COST,,,,,,,,,,,,,,,,,,,,,,,,,,,INTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XLNX,
2008-11-28,,,,,,,,,,,,,,,,,,CA,,,,,,CMCSA,,,,,,,,,,,,,,,,,,,,,,,HSIC,,,,,,,,,,,,,,,,,,,,,,,PAYX,,,,,,,,,,SWKS,,,,TTWO,,,,,,,,,,,
2009-02-27,,,,,,,,,,,,,,,,,,,,,CERN,,,CMCSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WBA,,,,XLNX,
2009-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBUX,,,,,SYMC,,,,,,,,,,,,,XLNX,
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,CSCO,,,,,,,,,ESRX,,,,,,,GILD,,GOOGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-30,,,,,,ADSK,,,,,,,,,,,,,CDNS,,,,,,,,,,,,DISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TXN,,,,,,,,,,
2010-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,CSX,,,,DISH,,,,,,,,,,,,,,,,,IDXX,,,,,,,,,,,,,,,MSFT,,,,NFLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-31,,,,,,,,,,,,,,,,,,,,,,CHKP,,,,,,,,,,,,,,,,,,,,,,,HAS,,,IDXX,,,,,,,,,,LRCX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-31,,,,,,ADSK,,,,,,,,,,,,,,,,,,,,,CSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XLNX,
2010-11-30,,,,,,,,,,,,,,,BIIB,,,,,,,CHKP,,,,,CSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROST,,,,,,,,,,,,,,,,,,,,
2011-02-28,,,,,,,,,,,,,,,,,,,,,,,CHTR,CMCSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCHP,,,,,,,,,,,,,,,,,,,,,,,,,,,VOD,,,,,,,,
2011-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,CSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLAC,,,,MCHP,,,,,,,,,,,,,,,,,,,,,,,,,,,VOD,,,,,,,,
2011-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,CSX,,,,,DLTR,,,,,,,,,,,,,,,,,ILMN,,,,,,,KLAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WBA,,,,,
2011-11-30,,,,,ADP,,,,,,,,,,,,,,,,,,,,COST,,,,,,,,,,,,,,,,,,,,,,HSIC,,,,,,,,,,,,,,MDLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XRAY
2012-02-29,,,,,ADP,,,,,,AMZN,ATVI,,,,,,,,,,,,,COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIRI,,,,,,,,,,,,,,,,,,
2012-05-31,,,,,,,,,,AMGN,AMZN,,,,,,,,,CELG,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDXX,,,,,,,,,,,,,MDLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAST,,FISV,,,,,,,,,,,,INTC,,,,,,LBTYA,,,,,,,,,,,,ORLY,PAYX,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-30,,,ADBE,,,,,,,,,,,,BIIB,,,,,,CERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAR,,,,,,,,,,,,,,,,,,,,,,,TMUS,,,,,,,,,,,,,
2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FISV,,,,,,,,HSIC,,,,,,,,,,,,,,,,,,,MYL,,,,,,,,,,SBUX,,,,,,,,,,ULTA,,,,,,,,,
2013-05-31,,,,,ADP,,,,,,,,,,,,,,CDNS,,,,,,,,,,,,,,,,,,,,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,MYL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DISH,,,,,,,,,,,,,,,,,,,,,,,JBHT,,,,,,,,,,,,MYL,,,,,,,,,,,,,,,,,,,,,,,,WBA,,,WYNN,XLNX,
2013-11-29,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCHP,,,,,,,,,,,,,,,,,,,,,,,,,TXN,,VOD,,,,,,,,
2014-02-28,,,,,,,,,,,,,,,,,,CA,,,,,,CMCSA,,,,,,,,,,,,,,,FISV,,,,,,,,,,,,,,,,,,,,,,,,MSFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-30,,,,,,,,,,,,,,,,,,,,,,CHKP,,,,,,CTAS,,,,,,,,,,,,,,,,,,,,,,,,INTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TXN,,,,,,,,,,
2014-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTAS,,,,,,,,,,,,,,,,,,,,IDXX,,,,INTU,,,,KLAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-28,,,,,,ADSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FISV,,,,,,,,,,,,,,,,,KLAC,,,,,,,,,,,,NVDA,,,,,,,,,,,STX,,,,,,,,,,,,,,,,
2015-02-27,,,,,,,,,,,,,,,,,BMRN,,,,,,,,,,CSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TXN,,,,,,,,,,
2015-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,CSX,,,,,,,,,,,,FISV,,,GILD,,,,,,,,,,,,,,,,LRCX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VRSK,,,,,,,
2015-08-31,,,,,,,,,,,,,,,,,,,,,CERN,,,,,,,,,,,,,,ESRX,,,FB,,,,,,,,,,,,,,,,,,,,,,,MDLZ,,,,,,,,,,,,,,,,,SNPS,,,,,,,,,,,,,,,,,
2015-11-30,,,,,,,ALGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDLZ,,,,,,,,,,,,,,,,,SNPS,,SWKS,,,,,,,,VRSK,,,,,,,
2016-02-29,,,,,,,,,,,,,,,,,,,,,,,,,COST,,,CTAS,,,,DLTR,,EBAY,,,,,,,,,,,,HOLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGN,,,,,,,,,,,,,,VRSK,,,,,,,
2016-05-31,,,,,ADP,,,,,,,,,,,,,,,,,,,CMCSA,,,,CTAS,,,,DLTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TXN,,,,,,,,,,
2016-08-31,,,ADBE,,,,,,,,,,,,,,,,,,,,,,,CSCO,,,,,,,,,,,,,,,,,,,,,,,,,INTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XLNX,XRAY
