date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KHC,KLAC,LBTYA,LRCX,MAR,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,NFLX,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,REGN,ROST,SBUX,SIRI,SNPS,STX,SWKS,SYMC,TMUS,TSLA,TTWO,TXN,ULTA,VOD,VRSK,VRTX,WBA,WDAY,WDC,WYNN,XLNX,XRAY
2006-10-31,-0.10400000000000004,0.02400000000000002,0.008000000000000007,0.09600000000000003,-0.05600000000000005,-0.10400000000000004,-0.016000000000000014,-0.03200000000000003,0.008000000000000007,-0.03200000000000003,-0.03200000000000003,-0.08000000000000002,,0.03200000000000003,0.0,,-0.11200000000000004,-0.14399999999999996,0.008000000000000007,-0.03200000000000003,-0.064,0.02400000000000002,,-0.05600000000000005,-0.03200000000000003,-0.040000000000000036,-0.10400000000000004,-0.008000000000000007,-0.08800000000000002,0.008000000000000007,-0.08800000000000002,-0.02400000000000002,-0.08800000000000002,-0.05600000000000005,0.016000000000000014,-0.03200000000000003,-0.08800000000000002,,-0.02400000000000002,-0.13599999999999995,-0.064,-0.04800000000000004,,0.02400000000000002,-0.07200000000000001,0.016000000000000014,-0.064,-0.03200000000000003,-0.12000000000000005,0.064,0.02400000000000002,-0.15999999999999998,-0.008000000000000007,0.0,,-0.03200000000000003,-0.016000000000000014,-0.040000000000000036,-0.05600000000000005,-0.07200000000000001,-0.05600000000000005,-0.08000000000000002,-0.05600000000000005,-0.03200000000000003,-0.04800000000000004,0.016000000000000014,0.040000000000000036,-0.02400000000000002,-0.05600000000000005,-0.03200000000000003,-0.016000000000000014,,-0.040000000000000036,-0.02400000000000002,0.05600000000000005,0.040000000000000036,-0.07200000000000001,-0.008000000000000007,0.016000000000000014,-0.016000000000000014,-0.0,,,0.016000000000000014,-0.03200000000000003,,-0.016000000000000014,,0.0,0.040000000000000036,,0.016000000000000014,-0.016000000000000014,0.016000000000000014,-0.016000000000000014
2006-11-30,-0.064,0.03200000000000003,0.02400000000000002,0.040000000000000036,-0.04800000000000004,-0.09600000000000003,-0.04800000000000004,-0.040000000000000036,-0.016000000000000014,-0.04800000000000004,-0.05600000000000005,0.04800000000000004,,0.008000000000000007,-0.016000000000000014,,-0.07200000000000001,-0.16799999999999998,0.03200000000000003,-0.02400000000000002,-0.03200000000000003,0.064,,-0.07200000000000001,-0.02400000000000002,-0.03200000000000003,-0.12799999999999995,-0.03200000000000003,-0.08000000000000002,0.016000000000000014,-0.08800000000000002,-0.008000000000000007,-0.08800000000000002,-0.08000000000000002,-0.02400000000000002,-0.008000000000000007,-0.064,,-0.02400000000000002,-0.12000000000000005,-0.04800000000000004,-0.04800000000000004,,0.03200000000000003,-0.04800000000000004,0.008000000000000007,-0.07200000000000001,-0.008000000000000007,-0.09600000000000003,0.064,-0.016000000000000014,-0.11200000000000004,-0.040000000000000036,-0.008000000000000007,,-0.03200000000000003,-0.03200000000000003,-0.016000000000000014,-0.07200000000000001,-0.064,-0.02400000000000002,-0.040000000000000036,-0.02400000000000002,0.0,-0.04800000000000004,-0.040000000000000036,-0.05600000000000005,-0.05600000000000005,-0.04800000000000004,-0.04800000000000004,-0.04800000000000004,,-0.04800000000000004,-0.03200000000000003,-0.02400000000000002,0.08000000000000002,-0.08800000000000002,0.008000000000000007,0.016000000000000014,0.040000000000000036,-0.016000000000000014,,,0.02400000000000002,0.008000000000000007,,-0.016000000000000014,,-0.008000000000000007,0.008000000000000007,,0.016000000000000014,-0.040000000000000036,-0.0,-0.03200000000000003
2006-12-29,-0.02400000000000002,0.08000000000000002,0.016000000000000014,0.064,-0.040000000000000036,-0.09600000000000003,-0.064,0.0,0.02400000000000002,-0.040000000000000036,-0.05600000000000005,0.02400000000000002,,-0.016000000000000014,0.02400000000000002,,-0.04800000000000004,-0.13599999999999995,0.008000000000000007,-0.04800000000000004,-0.03200000000000003,-0.08800000000000002,,-0.12000000000000005,0.0,-0.064,-0.12000000000000005,0.04800000000000004,-0.040000000000000036,0.03200000000000003,-0.10400000000000004,0.016000000000000014,0.10400000000000004,-0.08000000000000002,0.008000000000000007,0.02400000000000002,0.04800000000000004,,-0.02400000000000002,-0.10400000000000004,-0.040000000000000036,-0.05600000000000005,,0.04800000000000004,-0.08800000000000002,0.02400000000000002,-0.040000000000000036,0.03200000000000003,-0.11200000000000004,0.12000000000000005,-0.008000000000000007,-0.10400000000000004,-0.04800000000000004,-0.016000000000000014,,0.03200000000000003,-0.09600000000000003,-0.02400000000000002,-0.09600000000000003,-0.07200000000000001,-0.07200000000000001,-0.05600000000000005,-0.064,0.008000000000000007,-0.05600000000000005,0.064,-0.02400000000000002,-0.03200000000000003,0.04800000000000004,0.03200000000000003,-0.040000000000000036,,-0.064,0.008000000000000007,0.016000000000000014,0.08800000000000002,-0.12000000000000005,-0.016000000000000014,0.02400000000000002,0.016000000000000014,-0.05600000000000005,,,0.02400000000000002,-0.0,,-0.008000000000000007,,0.03200000000000003,0.02400000000000002,,0.04800000000000004,-0.040000000000000036,0.016000000000000014,0.0
2007-01-31,-0.03200000000000003,0.08800000000000002,0.040000000000000036,0.03200000000000003,-0.04800000000000004,-0.02400000000000002,-0.09600000000000003,0.016000000000000014,-0.064,-0.008000000000000007,-0.04800000000000004,0.03200000000000003,,-0.064,0.008000000000000007,,-0.04800000000000004,-0.12799999999999995,0.008000000000000007,-0.008000000000000007,-0.016000000000000014,-0.09600000000000003,,-0.10400000000000004,-0.016000000000000014,-0.05600000000000005,-0.12799999999999995,-0.03200000000000003,-0.07200000000000001,-0.03200000000000003,-0.13599999999999995,0.008000000000000007,-0.09600000000000003,-0.064,-0.016000000000000014,-0.0,0.05600000000000005,,-0.03200000000000003,-0.12000000000000005,-0.04800000000000004,-0.04800000000000004,,0.04800000000000004,-0.12799999999999995,-0.05600000000000005,-0.040000000000000036,0.02400000000000002,-0.07200000000000001,-0.14399999999999996,0.02400000000000002,-0.12000000000000005,-0.07200000000000001,0.02400000000000002,,-0.016000000000000014,-0.12799999999999995,0.016000000000000014,-0.08800000000000002,0.03200000000000003,-0.07200000000000001,-0.08800000000000002,-0.05600000000000005,-0.04800000000000004,-0.08800000000000002,0.0,0.040000000000000036,0.0,0.04800000000000004,0.008000000000000007,-0.064,,-0.07200000000000001,0.016000000000000014,0.008000000000000007,0.08800000000000002,-0.12799999999999995,0.016000000000000014,0.02400000000000002,0.040000000000000036,-0.05600000000000005,,,-0.05600000000000005,0.040000000000000036,,-0.064,,0.064,-0.02400000000000002,,-0.05600000000000005,-0.08000000000000002,-0.008000000000000007,-0.040000000000000036
2007-02-28,-0.016000000000000014,0.08000000000000002,0.016000000000000014,0.016000000000000014,-0.04800000000000004,0.05600000000000005,-0.08800000000000002,0.09600000000000003,-0.016000000000000014,-0.040000000000000036,0.016000000000000014,0.016000000000000014,,-0.07200000000000001,0.02400000000000002,,-0.02400000000000002,-0.10400000000000004,0.016000000000000014,-0.008000000000000007,-0.05600000000000005,-0.09600000000000003,,-0.10400000000000004,-0.008000000000000007,-0.03200000000000003,-0.11200000000000004,0.016000000000000014,-0.05600000000000005,-0.016000000000000014,-0.14399999999999996,-0.008000000000000007,-0.07200000000000001,-0.04800000000000004,0.008000000000000007,-0.03200000000000003,-0.0,,-0.02400000000000002,-0.08800000000000002,-0.03200000000000003,-0.04800000000000004,,0.04800000000000004,-0.16799999999999998,0.02400000000000002,-0.05600000000000005,0.03200000000000003,-0.016000000000000014,-0.09600000000000003,-0.008000000000000007,-0.09600000000000003,0.04800000000000004,-0.040000000000000036,,-0.02400000000000002,-0.11200000000000004,0.0,-0.12000000000000005,-0.03200000000000003,-0.05600000000000005,-0.08800000000000002,-0.07200000000000001,-0.08800000000000002,-0.08000000000000002,-0.02400000000000002,0.016000000000000014,0.0,-0.040000000000000036,0.0,-0.07200000000000001,,-0.05600000000000005,0.016000000000000014,-0.008000000000000007,-0.14399999999999996,-0.08800000000000002,0.008000000000000007,0.03200000000000003,0.03200000000000003,-0.040000000000000036,,,-0.016000000000000014,-0.03200000000000003,,-0.08000000000000002,,-0.11200000000000004,-0.008000000000000007,,-0.09600000000000003,-0.05600000000000005,-0.02400000000000002,-0.02400000000000002
2007-03-30,0.04800000000000004,0.03200000000000003,-0.02400000000000002,-0.008000000000000007,-0.07200000000000001,0.064,-0.07200000000000001,0.07200000000000001,0.03200000000000003,-0.04800000000000004,0.008000000000000007,-0.008000000000000007,,-0.05600000000000005,-0.04800000000000004,,-0.02400000000000002,-0.09600000000000003,0.016000000000000014,0.040000000000000036,-0.05600000000000005,-0.08800000000000002,,-0.11200000000000004,0.016000000000000014,-0.02400000000000002,-0.09600000000000003,-0.04800000000000004,-0.03200000000000003,-0.040000000000000036,-0.15199999999999997,-0.016000000000000014,-0.064,-0.03200000000000003,-0.0,-0.064,0.02400000000000002,,-0.02400000000000002,-0.08800000000000002,-0.03200000000000003,-0.05600000000000005,,0.08000000000000002,-0.12799999999999995,-0.040000000000000036,-0.10400000000000004,-0.05600000000000005,0.02400000000000002,-0.09600000000000003,-0.02400000000000002,-0.10400000000000004,-0.04800000000000004,-0.04800000000000004,,-0.016000000000000014,-0.15199999999999997,-0.02400000000000002,-0.12799999999999995,-0.03200000000000003,-0.040000000000000036,-0.08000000000000002,-0.064,-0.07200000000000001,-0.09600000000000003,-0.04800000000000004,0.016000000000000014,0.05600000000000005,0.04800000000000004,-0.008000000000000007,-0.11200000000000004,,-0.064,0.016000000000000014,-0.016000000000000014,-0.15999999999999998,-0.11200000000000004,0.008000000000000007,0.064,-0.064,-0.040000000000000036,,,0.03200000000000003,-0.0,,-0.09600000000000003,,-0.09600000000000003,-0.02400000000000002,,-0.08800000000000002,-0.04800000000000004,0.0,-0.008000000000000007
2007-04-30,0.08000000000000002,0.008000000000000007,-0.016000000000000014,0.008000000000000007,-0.064,-0.016000000000000014,-0.05600000000000005,0.05600000000000005,0.016000000000000014,-0.0,-0.016000000000000014,-0.03200000000000003,,-0.064,-0.008000000000000007,,-0.03200000000000003,0.05600000000000005,-0.02400000000000002,0.0,-0.07200000000000001,-0.08800000000000002,,-0.08000000000000002,-0.02400000000000002,-0.03200000000000003,-0.08800000000000002,-0.02400000000000002,-0.008000000000000007,-0.040000000000000036,-0.176,-0.008000000000000007,-0.03200000000000003,-0.008000000000000007,-0.04800000000000004,-0.08000000000000002,0.05600000000000005,,-0.03200000000000003,-0.064,-0.016000000000000014,-0.05600000000000005,,0.08000000000000002,-0.19199999999999995,0.04800000000000004,-0.12000000000000005,0.02400000000000002,-0.008000000000000007,-0.09600000000000003,0.07200000000000001,-0.12000000000000005,-0.02400000000000002,-0.040000000000000036,,-0.03200000000000003,-0.15999999999999998,0.03200000000000003,-0.11200000000000004,0.05600000000000005,-0.05600000000000005,-0.04800000000000004,-0.08800000000000002,-0.08000000000000002,-0.08000000000000002,-0.02400000000000002,0.008000000000000007,-0.064,0.08800000000000002,0.008000000000000007,-0.12000000000000005,,-0.064,-0.040000000000000036,0.02400000000000002,-0.176,-0.09600000000000003,-0.03200000000000003,-0.04800000000000004,-0.064,-0.04800000000000004,,,-0.008000000000000007,0.016000000000000014,,-0.07200000000000001,,-0.08800000000000002,-0.008000000000000007,,-0.08000000000000002,-0.05600000000000005,0.008000000000000007,-0.03200000000000003
2007-05-31,-0.07200000000000001,-0.05600000000000005,-0.05600000000000005,-0.03200000000000003,-0.08000000000000002,-0.05600000000000005,-0.04800000000000004,0.040000000000000036,-0.008000000000000007,-0.02400000000000002,-0.040000000000000036,-0.08000000000000002,,-0.08800000000000002,0.016000000000000014,,-0.02400000000000002,0.008000000000000007,-0.04800000000000004,0.0,-0.05600000000000005,-0.09600000000000003,,-0.04800000000000004,-0.008000000000000007,-0.040000000000000036,-0.10400000000000004,-0.02400000000000002,0.02400000000000002,-0.040000000000000036,-0.176,-0.04800000000000004,0.016000000000000014,0.040000000000000036,-0.064,-0.10400000000000004,0.04800000000000004,,-0.03200000000000003,-0.040000000000000036,-0.008000000000000007,-0.05600000000000005,,0.08000000000000002,-0.21599999999999997,0.04800000000000004,-0.12799999999999995,-0.008000000000000007,-0.03200000000000003,-0.05600000000000005,-0.11200000000000004,-0.08000000000000002,0.0,-0.04800000000000004,,-0.03200000000000003,-0.16799999999999998,-0.04800000000000004,-0.10400000000000004,-0.05600000000000005,-0.08800000000000002,0.064,-0.12799999999999995,-0.10400000000000004,0.064,-0.008000000000000007,-0.02400000000000002,0.016000000000000014,-0.09600000000000003,-0.04800000000000004,-0.14399999999999996,,-0.064,-0.03200000000000003,0.03200000000000003,-0.176,-0.040000000000000036,-0.04800000000000004,-0.04800000000000004,0.03200000000000003,-0.08800000000000002,,,0.008000000000000007,-0.040000000000000036,,-0.11200000000000004,,-0.08000000000000002,-0.016000000000000014,,-0.08000000000000002,-0.016000000000000014,-0.008000000000000007,-0.040000000000000036
2007-06-29,-0.12799999999999995,-0.08800000000000002,0.008000000000000007,-0.04800000000000004,-0.10400000000000004,-0.08800000000000002,-0.040000000000000036,0.09600000000000003,0.0,-0.02400000000000002,-0.016000000000000014,-0.10400000000000004,,-0.10400000000000004,0.016000000000000014,,-0.02400000000000002,-0.008000000000000007,-0.03200000000000003,0.02400000000000002,-0.08800000000000002,-0.12000000000000005,,-0.08000000000000002,0.016000000000000014,-0.08800000000000002,-0.11200000000000004,-0.016000000000000014,0.05600000000000005,-0.02400000000000002,-0.14399999999999996,-0.040000000000000036,0.04800000000000004,0.02400000000000002,-0.08000000000000002,-0.12799999999999995,-0.05600000000000005,,-0.016000000000000014,-0.04800000000000004,-0.008000000000000007,-0.05600000000000005,,0.064,-0.19199999999999995,0.064,-0.11200000000000004,-0.040000000000000036,-0.05600000000000005,-0.02400000000000002,-0.11200000000000004,-0.05600000000000005,-0.008000000000000007,-0.05600000000000005,,-0.02400000000000002,-0.19199999999999995,-0.04800000000000004,-0.07200000000000001,-0.05600000000000005,-0.08800000000000002,0.05600000000000005,-0.11200000000000004,-0.11200000000000004,-0.05600000000000005,-0.02400000000000002,-0.04800000000000004,-0.05600000000000005,-0.09600000000000003,-0.016000000000000014,-0.12799999999999995,,0.040000000000000036,-0.016000000000000014,0.05600000000000005,-0.15999999999999998,-0.05600000000000005,-0.07200000000000001,-0.02400000000000002,0.008000000000000007,-0.07200000000000001,,,-0.008000000000000007,-0.02400000000000002,,-0.14399999999999996,,-0.13599999999999995,0.0,,-0.08800000000000002,-0.016000000000000014,-0.02400000000000002,-0.05600000000000005
2007-07-31,-0.12799999999999995,-0.08800000000000002,-0.02400000000000002,-0.016000000000000014,-0.10400000000000004,-0.08800000000000002,-0.04800000000000004,0.040000000000000036,-0.008000000000000007,-0.064,-0.064,-0.08800000000000002,,-0.12799999999999995,0.0,,-0.008000000000000007,-0.040000000000000036,-0.05600000000000005,0.02400000000000002,-0.11200000000000004,-0.11200000000000004,,-0.09600000000000003,-0.02400000000000002,-0.12799999999999995,-0.13599999999999995,-0.008000000000000007,0.064,-0.016000000000000014,-0.11200000000000004,-0.03200000000000003,0.05600000000000005,-0.008000000000000007,-0.08800000000000002,-0.15199999999999997,-0.07200000000000001,,-0.03200000000000003,-0.03200000000000003,0.008000000000000007,-0.03200000000000003,,0.016000000000000014,-0.16799999999999998,0.04800000000000004,-0.11200000000000004,-0.08000000000000002,-0.02400000000000002,-0.03200000000000003,-0.12000000000000005,0.05600000000000005,-0.02400000000000002,-0.07200000000000001,,-0.03200000000000003,-0.19199999999999995,-0.08800000000000002,-0.08800000000000002,-0.064,-0.05600000000000005,0.040000000000000036,-0.09600000000000003,-0.12000000000000005,0.040000000000000036,-0.064,-0.02400000000000002,-0.07200000000000001,-0.09600000000000003,-0.07200000000000001,-0.13599999999999995,,0.016000000000000014,-0.03200000000000003,0.040000000000000036,-0.16799999999999998,-0.040000000000000036,-0.07200000000000001,0.008000000000000007,-0.016000000000000014,-0.05600000000000005,,,-0.008000000000000007,-0.03200000000000003,,-0.16799999999999998,,-0.11200000000000004,0.03200000000000003,,0.040000000000000036,-0.040000000000000036,-0.02400000000000002,-0.04800000000000004
2007-08-31,-0.09600000000000003,-0.08000000000000002,-0.008000000000000007,0.008000000000000007,-0.07200000000000001,-0.09600000000000003,-0.064,0.03200000000000003,0.016000000000000014,-0.08000000000000002,-0.040000000000000036,-0.08800000000000002,,-0.12799999999999995,0.0,,-0.016000000000000014,-0.064,-0.10400000000000004,-0.008000000000000007,-0.064,-0.04800000000000004,,-0.04800000000000004,-0.02400000000000002,-0.12000000000000005,-0.13599999999999995,-0.008000000000000007,0.08000000000000002,-0.040000000000000036,-0.09600000000000003,-0.04800000000000004,-0.05600000000000005,0.0,-0.08000000000000002,-0.13599999999999995,-0.07200000000000001,,-0.008000000000000007,-0.02400000000000002,0.0,-0.040000000000000036,,0.016000000000000014,-0.12799999999999995,0.040000000000000036,-0.12799999999999995,-0.08800000000000002,-0.040000000000000036,-0.05600000000000005,-0.11200000000000004,0.03200000000000003,-0.03200000000000003,-0.08000000000000002,,-0.02400000000000002,-0.14399999999999996,-0.064,-0.11200000000000004,-0.040000000000000036,0.04800000000000004,-0.08800000000000002,-0.064,-0.15199999999999997,0.040000000000000036,-0.08000000000000002,-0.016000000000000014,-0.08800000000000002,-0.11200000000000004,-0.040000000000000036,-0.14399999999999996,,0.02400000000000002,0.008000000000000007,0.04800000000000004,-0.15999999999999998,-0.03200000000000003,-0.08800000000000002,-0.05600000000000005,-0.008000000000000007,-0.02400000000000002,,,0.008000000000000007,-0.016000000000000014,,-0.184,,-0.10400000000000004,0.02400000000000002,,0.03200000000000003,-0.04800000000000004,-0.03200000000000003,-0.05600000000000005
2007-09-28,-0.12799999999999995,-0.09600000000000003,0.0,-0.008000000000000007,-0.08800000000000002,-0.11200000000000004,-0.064,0.02400000000000002,-0.008000000000000007,-0.064,-0.05600000000000005,-0.11200000000000004,,-0.15999999999999998,0.008000000000000007,,-0.08800000000000002,-0.07200000000000001,-0.11200000000000004,-0.03200000000000003,-0.07200000000000001,-0.04800000000000004,,-0.02400000000000002,-0.02400000000000002,-0.12000000000000005,-0.11200000000000004,-0.03200000000000003,-0.064,-0.064,-0.064,-0.040000000000000036,-0.04800000000000004,-0.03200000000000003,-0.11200000000000004,-0.176,-0.04800000000000004,,0.040000000000000036,-0.02400000000000002,0.0,-0.04800000000000004,,0.0,-0.064,0.008000000000000007,-0.15999999999999998,-0.08800000000000002,-0.04800000000000004,-0.064,-0.11200000000000004,0.03200000000000003,-0.016000000000000014,-0.05600000000000005,,-0.016000000000000014,-0.10400000000000004,-0.08800000000000002,-0.10400000000000004,-0.040000000000000036,0.064,-0.11200000000000004,-0.04800000000000004,-0.15999999999999998,0.03200000000000003,-0.07200000000000001,-0.02400000000000002,-0.08800000000000002,-0.064,-0.040000000000000036,-0.12799999999999995,,-0.008000000000000007,0.016000000000000014,0.064,-0.184,-0.0,-0.08800000000000002,-0.040000000000000036,0.0,-0.0,,,0.03200000000000003,0.0,,-0.19199999999999995,,0.05600000000000005,-0.016000000000000014,,0.0,-0.07200000000000001,-0.04800000000000004,-0.08000000000000002
2007-10-31,-0.11200000000000004,-0.11200000000000004,-0.040000000000000036,0.02400000000000002,-0.07200000000000001,-0.10400000000000004,-0.05600000000000005,0.008000000000000007,0.008000000000000007,-0.064,-0.04800000000000004,-0.12799999999999995,,-0.16799999999999998,0.0,,-0.09600000000000003,-0.04800000000000004,-0.08800000000000002,-0.03200000000000003,-0.08000000000000002,-0.02400000000000002,,-0.016000000000000014,-0.040000000000000036,-0.12000000000000005,-0.10400000000000004,-0.02400000000000002,0.03200000000000003,-0.09600000000000003,-0.040000000000000036,-0.03200000000000003,0.02400000000000002,0.008000000000000007,-0.13599999999999995,-0.19199999999999995,-0.040000000000000036,,-0.05600000000000005,0.008000000000000007,0.03200000000000003,-0.064,,-0.05600000000000005,-0.07200000000000001,-0.008000000000000007,-0.184,-0.12799999999999995,-0.040000000000000036,-0.08800000000000002,-0.11200000000000004,0.040000000000000036,-0.05600000000000005,-0.05600000000000005,,0.008000000000000007,-0.09600000000000003,-0.064,-0.07200000000000001,-0.03200000000000003,-0.05600000000000005,-0.14399999999999996,-0.07200000000000001,-0.15999999999999998,-0.04800000000000004,-0.07200000000000001,-0.008000000000000007,-0.09600000000000003,-0.07200000000000001,-0.05600000000000005,-0.12000000000000005,,-0.008000000000000007,-0.03200000000000003,-0.03200000000000003,-0.15999999999999998,0.008000000000000007,-0.064,-0.10400000000000004,-0.02400000000000002,0.016000000000000014,,,0.02400000000000002,-0.008000000000000007,,-0.176,,-0.064,0.0,,-0.040000000000000036,-0.09600000000000003,-0.02400000000000002,-0.07200000000000001
2007-11-30,-0.14399999999999996,-0.08800000000000002,-0.016000000000000014,0.04800000000000004,-0.064,-0.064,-0.040000000000000036,0.016000000000000014,0.03200000000000003,-0.064,-0.02400000000000002,-0.10400000000000004,,-0.15199999999999997,0.016000000000000014,,-0.08800000000000002,-0.05600000000000005,-0.05600000000000005,-0.016000000000000014,-0.08800000000000002,0.016000000000000014,,-0.03200000000000003,-0.064,-0.11200000000000004,-0.07200000000000001,-0.040000000000000036,0.05600000000000005,-0.064,-0.04800000000000004,-0.016000000000000014,0.040000000000000036,0.03200000000000003,-0.14399999999999996,-0.13599999999999995,-0.03200000000000003,,-0.040000000000000036,0.016000000000000014,0.03200000000000003,-0.07200000000000001,,-0.040000000000000036,-0.08800000000000002,-0.008000000000000007,-0.15199999999999997,-0.14399999999999996,-0.064,-0.07200000000000001,-0.11200000000000004,-0.02400000000000002,-0.064,-0.016000000000000014,,0.02400000000000002,-0.11200000000000004,0.04800000000000004,0.02400000000000002,0.008000000000000007,0.04800000000000004,-0.12799999999999995,-0.05600000000000005,-0.176,-0.08800000000000002,-0.08000000000000002,-0.05600000000000005,-0.05600000000000005,-0.05600000000000005,-0.04800000000000004,-0.08800000000000002,,0.0,0.03200000000000003,-0.008000000000000007,-0.15199999999999997,0.008000000000000007,-0.05600000000000005,-0.04800000000000004,-0.04800000000000004,-0.0,,,0.08800000000000002,0.008000000000000007,,-0.15199999999999997,,-0.08800000000000002,0.016000000000000014,,-0.03200000000000003,-0.040000000000000036,-0.016000000000000014,-0.05600000000000005
2007-12-31,-0.14399999999999996,-0.12799999999999995,-0.04800000000000004,-0.03200000000000003,-0.07200000000000001,-0.08800000000000002,-0.04800000000000004,-0.008000000000000007,0.040000000000000036,-0.08800000000000002,-0.05600000000000005,-0.12000000000000005,,-0.184,0.0,,-0.10400000000000004,-0.040000000000000036,0.064,0.016000000000000014,-0.08800000000000002,0.05600000000000005,,-0.064,-0.07200000000000001,-0.09600000000000003,-0.08000000000000002,-0.02400000000000002,-0.040000000000000036,-0.12799999999999995,-0.008000000000000007,0.008000000000000007,0.016000000000000014,0.03200000000000003,-0.176,-0.09600000000000003,-0.040000000000000036,,0.05600000000000005,-0.02400000000000002,-0.04800000000000004,-0.08800000000000002,,-0.064,-0.04800000000000004,-0.03200000000000003,-0.19999999999999996,-0.176,-0.07200000000000001,-0.064,-0.12799999999999995,0.03200000000000003,-0.09600000000000003,-0.040000000000000036,,-0.03200000000000003,-0.064,0.040000000000000036,-0.008000000000000007,0.016000000000000014,0.03200000000000003,-0.11200000000000004,-0.07200000000000001,-0.19999999999999996,-0.05600000000000005,-0.07200000000000001,-0.04800000000000004,-0.08800000000000002,-0.040000000000000036,-0.04800000000000004,-0.10400000000000004,,0.016000000000000014,0.016000000000000014,0.016000000000000014,-0.14399999999999996,0.0,0.064,0.016000000000000014,-0.040000000000000036,-0.04800000000000004,,,-0.040000000000000036,-0.016000000000000014,,-0.12799999999999995,,-0.11200000000000004,-0.0,,-0.064,-0.016000000000000014,0.008000000000000007,-0.11200000000000004
2008-01-31,-0.15199999999999997,-0.12799999999999995,-0.04800000000000004,-0.05600000000000005,-0.040000000000000036,-0.03200000000000003,0.008000000000000007,0.016000000000000014,0.02400000000000002,-0.09600000000000003,-0.03200000000000003,-0.09600000000000003,,-0.13599999999999995,0.008000000000000007,,-0.08000000000000002,0.0,0.02400000000000002,0.016000000000000014,-0.07200000000000001,-0.064,,-0.08000000000000002,-0.04800000000000004,-0.07200000000000001,-0.07200000000000001,-0.03200000000000003,-0.08000000000000002,-0.10400000000000004,-0.016000000000000014,-0.0,0.04800000000000004,0.04800000000000004,-0.15999999999999998,-0.05600000000000005,0.008000000000000007,,-0.02400000000000002,-0.064,-0.07200000000000001,-0.07200000000000001,,-0.016000000000000014,0.008000000000000007,-0.008000000000000007,-0.176,-0.14399999999999996,-0.02400000000000002,-0.04800000000000004,-0.09600000000000003,-0.040000000000000036,-0.07200000000000001,-0.016000000000000014,,-0.08800000000000002,-0.064,0.040000000000000036,-0.0,0.008000000000000007,0.008000000000000007,-0.08000000000000002,-0.04800000000000004,-0.15999999999999998,-0.064,-0.12000000000000005,0.05600000000000005,-0.05600000000000005,-0.0,0.008000000000000007,-0.07200000000000001,,0.016000000000000014,0.04800000000000004,-0.0,-0.13599999999999995,0.016000000000000014,0.064,-0.008000000000000007,-0.05600000000000005,-0.04800000000000004,,,0.08000000000000002,0.03200000000000003,,-0.08800000000000002,,-0.12000000000000005,-0.0,,-0.05600000000000005,0.040000000000000036,-0.02400000000000002,-0.08000000000000002
2008-02-29,-0.12000000000000005,-0.09600000000000003,0.040000000000000036,-0.040000000000000036,0.03200000000000003,-0.05600000000000005,0.008000000000000007,-0.02400000000000002,-0.03200000000000003,-0.08800000000000002,-0.008000000000000007,-0.09600000000000003,,-0.12799999999999995,-0.02400000000000002,,-0.11200000000000004,0.008000000000000007,0.02400000000000002,-0.016000000000000014,-0.03200000000000003,-0.04800000000000004,,-0.04800000000000004,-0.040000000000000036,0.064,-0.08800000000000002,-0.04800000000000004,-0.08800000000000002,-0.09600000000000003,-0.03200000000000003,-0.02400000000000002,-0.03200000000000003,-0.040000000000000036,-0.11200000000000004,-0.04800000000000004,-0.02400000000000002,,0.04800000000000004,-0.03200000000000003,-0.07200000000000001,-0.11200000000000004,,-0.016000000000000014,0.008000000000000007,-0.008000000000000007,-0.19199999999999995,-0.15999999999999998,-0.064,-0.064,-0.12000000000000005,-0.03200000000000003,-0.11200000000000004,0.0,,-0.09600000000000003,-0.08000000000000002,0.04800000000000004,-0.008000000000000007,0.03200000000000003,0.04800000000000004,-0.10400000000000004,-0.03200000000000003,-0.09600000000000003,-0.03200000000000003,-0.10400000000000004,0.0,-0.064,-0.02400000000000002,-0.016000000000000014,-0.064,,0.040000000000000036,0.040000000000000036,-0.0,-0.08800000000000002,0.008000000000000007,0.08800000000000002,-0.0,-0.07200000000000001,0.02400000000000002,,,-0.05600000000000005,0.02400000000000002,,-0.08000000000000002,,-0.10400000000000004,0.008000000000000007,,-0.10400000000000004,0.008000000000000007,-0.0,-0.08800000000000002
