Date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BMRN,CA,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTRP,CTSH,CTXS,ASML,CDNS,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,ILMN,INCY,INTC,INTU,ISRG,JD,KHC,KLAC,LBTYA,LBTYK,IDXX,JBHT,LRCX,GLIBA,MAR,MELI,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,SNPS,NFLX,NTES,NVDA,TTWO,ORLY,PAYX,PCAR,BKNG,PYPL,QCOM,QRTEA,REGN,ROST,WDAY,SBUX,SHPG,SIRI,STX,SWKS,SYMC,TMUS,WYNN,TSCO,TSLA,TXN,ULTA,VIAB,VOD,VRSK,VRTX,WBA,WDC,XLNX,XRAY,AABA
11/30/2001,,,0.215151606,0.118421055,0.073557799,,0.82278481,0.2393957,0.165054272,0.16913059,0.621776504,,,,0.172057402,0.052631579,0.076002612,0.059842041,,0.299119173,,0.061115765,0.080623792,0.208037788,,0.057397431,,,-0.044017051,,,0.141440246,,0.174893121,,,,,,0.050820223,0.11555202,0.099999261,0.148011473,,,-0.007241965,,0.191111111,-0.004995005,0.276510067,0.338446198,0.091496791,0.039130489,,,0.229319596,,,,,0.156118217,,0.200766021,-0.024890023,0.156630399,-0.018666711,,0.104213202,0.193321617,0.198032821,-0.064822409,,,,0.274848252,,0.183297877,0.092014882,,,,0.195439769,,0.252036199,,0.442682927,,-0.196867991,1.827309335,,0.030927782,,,,,,0.145051774,,,0.100803585,,0.03265302,0.020256557,0.40597005,0.187047969,0.035118956,0.431066176
12/31/2001,,,-0.031716938,0.044470582,0.064108223,,0.03125,0.145804032,0.009058843,-0.150383878,-0.044169611,,,,-0.019487951,0.12,0.037805129,-0.085124678,,0.040156482,,-0.048877152,0.085616436,-0.113992155,,0.123069666,,,0.012963746,,,0.037778635,,-0.008435329,,,,,,0.082906802,0.036156111,0.010695656,-0.089875696,,,-0.013373944,,-0.078855771,0.180722892,0.022082072,-0.03704833,-0.025512591,0.049163073,,,-0.01333859,,,,,0.059306567,,0.082318937,-0.065725071,0.072832925,0.03142182,,0.031770786,0.141384389,-0.041963187,0.088742562,,,,0.224377753,,0.090610173,-0.004570138,,,,-0.139986392,,0.01770871,,0.100591716,,0.019498542,0.651988652,,-0.091666712,,,,,,-0.126365021,,,0.013417299,,-0.028063203,0.019999975,0.331210147,0.08141787,0.079502532,0.139370584
1/31/2002,,,0.085346223,-0.013291267,-0.083191843,,-0.223905724,-0.087561375,0.088528719,-0.016654841,0.311460259,,,,-0.137385768,-0.09375,-0.000869874,-0.140977444,,-0.084983682,,-0.005555531,0.036502924,0.093318539,,0.042083336,,,-0.239629303,,,-0.006188571,,-0.114762302,,,,,,0.002835491,-0.119773497,-0.110733162,-0.00456508,,,0.018548096,,0.239265527,-0.281462585,-0.241255183,0.11414941,-0.082515138,-0.077766654,,,0.155770696,,,,,0.001722654,,0.003198053,0.104651119,-0.027103709,0.089039166,,-0.03833963,0.088709677,0.056751134,-0.101599956,,,,-0.017339279,,-0.092678964,0.056487822,,,,-0.127722791,,-0.119318217,,-0.466205837,,-0.046448021,-0.464316425,,-0.033944913,,,,,,0.115506848,,,-0.154984198,,-0.197234648,0.077837175,-0.00318974,0.110115219,-0.014940202,-0.028184893
2/28/2002,,,0.079525223,-0.150456639,-0.02388888,,-0.32537961,-0.039910314,-0.004123693,0.044684679,-0.006342495,,,,0.056508595,-0.177339901,-0.527568158,-0.048504741,,-0.235068493,,-0.029608989,-0.103043526,-0.279292905,,-0.109940545,,,-0.119558909,,,-0.043223431,-0.029385005,0.014132278,,,,,,0.007068898,-0.086428221,-0.07607343,0.077040803,,,-0.132727224,,-0.062758815,-0.18816568,-0.254915254,-0.184737061,-0.034649732,-0.005405405,,,0.010998632,,,,,-0.069647472,,-0.032123655,-0.002631543,-0.093128177,0.055045823,,-0.084288182,-0.047407348,-0.175346953,-0.098248747,,,,-0.22406448,,-0.001208824,0.006811995,,,,-0.245175884,,-0.084274197,,-0.654676259,,-0.318624655,-0.335473462,,-0.268281076,,,,,,-0.059596252,,,-0.12442402,,0.104863171,0.11020706,-0.070400081,-0.171395631,0.006167749,-0.1612529
3/29/2002,,,0.1078506,0.210427373,0.107682789,,0.286173633,0.098085007,0.248447154,0.029320472,0.014184397,,,,0.023559424,0.04491018,0.34459444,-0.051360675,,0.088825215,,-0.037133005,-0.034900579,0.186405045,,0.125761997,,,0.139090376,,,0.08422664,0.024032397,0.129691564,,,,,,0.076041176,0.110683446,0.107667066,0.021572482,,,0.105520492,,0.024180471,0.379008746,0.082802548,0.065148887,0.012404394,0.021739076,,,0.148333618,,,,,0.354898369,,0.138839614,0.099736062,0.223815133,-0.008052603,,0.03376761,0.023328148,0.217438838,-0.029004823,,,,-0.130366592,,-0.044780635,0.074424881,,,,0.13203005,,0.10039635,,0.370833333,,-0.013036228,0.285024049,,-0.010382866,,,,,,0.12776826,,,-0.030000154,,0.277395794,-0.026093501,0.072289307,0.109688275,0.118749694,0.277316736
4/30/2002,,,-0.008190638,-0.179396144,-0.127509882,,-0.4275,-0.21395151,-0.103740578,-0.113941006,0.167132937,,,,-0.145412155,-0.424068768,-0.150296883,-0.200808081,,-0.402960526,,-0.15724961,0.009542944,-0.134672229,,0.038307273,,,-0.328703743,,,-0.039547986,0.162450513,-0.028782895,,,,,,-0.033268144,-0.07047276,-0.076666585,-0.135315297,,,0.011987865,,0.080363224,-0.11205074,-0.310084034,-0.059191014,0.021376378,0.079787238,,,-0.113233053,,,,,-0.12482949,,-0.021042437,-0.009596962,0.063829767,0.061836957,,-0.13347708,-0.279635272,-0.106085091,-0.101154184,,,,-0.215284089,,0.025974026,-0.056918732,,,,-0.198724803,,-0.173669468,,-0.124620061,,-0.054111535,-0.156015031,,-0.196721297,,,,,,-0.064876051,,,-0.120998309,,-0.236539869,-0.036233699,-0.006420618,-0.052684466,0.070426274,-0.20086627
5/31/2002,,,-0.096596626,-0.009199147,0.021243113,,-0.126637555,-0.148268398,-0.087993362,-0.099281386,0.092270755,,,,-0.21947228,-0.039800995,-0.066666685,-0.089989889,,-0.104132231,,0.052146151,-0.023134331,0.077133147,,0.008499093,,,-0.080172414,,,-0.073897058,0.055846881,0.083827265,,,,,,-0.043184885,0.106141121,0.125902321,0.145886781,,,-0.042553182,,0.041815549,-0.238095238,-0.105968331,-0.033910011,0.116130682,-0.070935866,,,-0.115991184,,,,,-0.113795798,,-0.079654138,0.029069786,0.007865168,0.048001868,,-0.025832348,-0.005063333,-0.076305201,0.16842905,,,,-0.038781943,,-0.007100957,-0.071792132,,,,0.04907166,,-0.2,,-0.489583333,,0.233783688,-0.115812983,,-0.168163369,,,,,,-0.073068227,,,-0.078395143,,-0.072402445,0.013937323,-0.256865979,-0.06620761,0.00983119,0.085365854
6/28/2002,,,-0.210156957,-0.188967719,-0.15930159,,-0.35,-0.037484117,-0.142470685,-0.120722241,-0.108612178,,,,-0.173466966,-0.100172712,-0.082610069,-0.15,,-0.166051661,,-0.184086319,-0.016552102,-0.115969555,,-0.053246479,,,-0.433926898,,,-0.263199723,-0.021355873,0.032031313,,,,,,-0.137047485,-0.214187804,-0.208416752,-0.077958481,,,-0.113725494,,-0.102460706,0.05,-0.009536785,-0.338522801,0.136976947,-0.101802752,,,-0.156148074,,,,,-0.209322759,,-0.057420409,-0.007532919,-0.082608692,-0.044838867,,0.074445085,-0.142493681,-0.166739104,0.01461951,,,,-0.486551079,,-0.143034826,-0.096969728,,,,-0.131163072,,-0.121670702,,-0.040816327,,-0.057685297,-0.052896631,,-0.455348317,,,,,,-0.173351927,,,-0.078092456,,-0.174860568,0.009670756,-0.293478271,-0.363868394,-0.077456901,-0.078651685
7/31/2002,,,-0.159298264,-0.18855221,-0.143742825,,-0.184615385,0.023762376,-0.2181914,0.089780301,-0.110769231,,,,0.257827891,-0.145873321,-0.412208948,0.122222222,,0.237463201,,-0.102479372,-0.097099944,-0.054480334,,-0.112279973,,,-0.087748344,,,-0.121228447,-0.208322721,-0.088872122,,,,,,-0.062653228,-0.121238092,-0.139241205,-0.073296882,,,-0.094352931,,-0.034606742,-0.337797619,-0.148555708,0.028461948,-0.115446545,-0.173553768,,,-0.104569284,,,,,-0.315906569,,-0.119579465,-0.107685047,-0.197229315,-0.096459108,,-0.122851947,-0.036102821,-0.082181087,0.034768692,,,,-0.355646143,,0.022496372,-0.155603024,,,,-0.000363818,,0.185389456,,0.234042553,,-0.012010825,-0.454787345,,-0.477477565,,,,,,-0.02228774,,,0.111355406,,0.212530638,-0.085425835,0.366153992,-0.144449378,0.073963715,-0.107723577
8/30/2002,,,-0.161101807,0,0.012872097,,-0.103773585,-0.234687299,-0.101546819,-0.0133655,0.033910035,,,,-0.098901099,-0.069662921,0.199143447,0.012230635,,-0.001787902,,0.130755131,-0.041869775,0.04776349,,0.00296257,,,0.143375681,,,0.09135496,-0.211217981,0.051179761,,,,,,0.069747225,0.066997617,0.07647137,0.052839044,,,0.073469355,,0.163175093,-0.116853933,-0.011308562,-0.111762859,0.014779501,0.054285714,,,-0.164508753,,,,,-0.054471544,,-0.022985106,0.032961251,-0.044050909,0.074864879,,0.022926267,-0.114930734,-0.101478084,0.006473519,,,,-0.08762415,,0.056777857,-0.110604295,,,,0.008369756,,-0.101744238,,-0.17816092,,0.144705925,-0.263414334,,0.448275911,,,,,,-0.149027992,,,0.054053908,,0.00810537,-0.015462029,-0.087837889,0.006774305,0.000756755,-0.218678815
