date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KHC,KLAC,LBTYA,LRCX,MAR,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,NFLX,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,REGN,ROST,SBUX,SIRI,SNPS,STX,SWKS,SYMC,TMUS,TSLA,TTWO,TXN,ULTA,VOD,VRSK,VRTX,WBA,WDAY,WDC,WYNN,XLNX,XRAY
2001-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GILD,,,,HOLX,,,,,,,,,,,,,,,,,,,,,,,ORLY,,,,,,ROST,,,,,,,,,,,,,,,,,,,,
2002-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOLX,,,,,,,,,,,,,,MCHP,,,,,,,,,,,,,,,ROST,,,,,,,,,,,,,,,,,WDC,,,
2002-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROST,,,,,,SYMC,,,,,,,,,,,WDC,,,
2002-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROST,,,,,,,,,TTWO,,,,,,,,WDC,,,
2003-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTSH,,,,,,,,,,,,,,,,,,,IDXX,,,,,,,,,,,,,,,,,,MYL,,,,,,,,,,,,,,,,,,,,,,,,,,WDC,,,
2003-05-30,,,,,,,,,,,AMZN,,,,,,,,,,,,,,,,,,,CTXS,,,,EBAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDC,,,
2003-08-29,,,,,,,ALGN,,,,AMZN,,,,,,,,,,,,,,,,,,,CTXS,,,,,,,,,,,,GILD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-28,,,,,,,ALGN,,,,AMZN,,,,,,,,,,,,,,,,,,,CTXS,,,,,,,,,,,,,,,,,,,,,,,,JBHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-27,,,,,,,ALGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOLX,,,ILMN,INCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-31,,,,,,ADSK,,,,,,,,,,,,,,,CERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WYNN,,
2004-08-31,,,,,,ADSK,,,,,,ATVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBUX,,,,,SYMC,,,,,,,,,,,,WYNN,,
2004-11-30,,AAPL,,,,ADSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,EBAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WYNN,,
2005-02-28,,AAPL,,,,ADSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISRG,JBHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31,,AAPL,,,,ADSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOLX,,,,,,,ISRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-31,,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOGL,,HOLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDC,,,
2005-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESRX,,,,,,,,,,,HOLX,,,ILMN,,,,,,,,,,,,,MNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOLX,,,ILMN,,,,,,,,,,,,,MNST,,,,,,,,,,,,,,,,,,,,,,,,,,,VRTX,,,,,,
2006-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ILMN,,,,,,,,,,,,,MNST,,,,,NFLX,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-31,,,,,,,,,,,,,,,,,BMRN,,,CELG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ILMN,,,,,,,,,,,,,MNST,,,,,,NVDA,,,,,,,,,,,,,,,,,,,,,VRTX,,,,,,
2006-11-30,,,,,,,ALGN,ALXN,,,,,,,,,BMRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ILMN,,,,,,,,,,,,,MNST,,,,,,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-28,,,,,,,ALGN,,,,,,,BIDU,,,,,,,,,,CMCSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNST,,,,,,,,,PCAR,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-31,,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPE,,,,,,,,,HAS,,,,,INCY,,,,,,,LBTYA,,,,,,,,,,,,,,PCAR,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-31,,AAPL,,,,,,,,,,,,BIDU,,,,,,,,,,,,,CSX,,,,,,,,,EXPE,,,,,,,,,,,,,,,,,,,,,LBTYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-11-30,,AAPL,,,,,,,,,,,,BIDU,,,,,,,,,,,,,,,,,,,,,ESRX,EXPE,,,,,,,,,,,,,,,,,,,,,,,,,,MNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02-29,,AAPL,,,,,,,,,,,,BIDU,,,BMRN,,,,,,,,,,,,,,,,,,ESRX,,,,,,,,,,,,,,,,,,ISRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-30,,AAPL,,,,,,,,,,,,BIDU,,,BMRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDC,,,
2008-08-29,,,,,,,,,,,,ATVI,,,,,,,,,,,,,,,CSX,,,,,,,,,,,,,,,GILD,,,,,,,ILMN,,,,,,,,,,,,,,,,,,NFLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-28,,,,,,,,,,,,ATVI,,,,,,,,,,,,,,,CSX,,,,,DLTR,,,,,,,,,,,,,HAS,,,,,,,,,,,,,,,,,,,,,,NFLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-27,,,,,,,,,,AMGN,,,,,,,,,,,,CHKP,,,,,,,,,,DLTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFLX,,,,,,,,,,,,,,,,,,,,,,VRTX,,,,,,
2009-05-29,,,,,,,,,,AMGN,,,,,,,,,,,CERN,,,,,,,,,,,DLTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFLX,,ORLY,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,,,,,,,,CERN,,,,,,,,,CTXS,,,,,,EXPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,MU,,,NFLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-30,,,,,,,,,,,,,,BIDU,,,,,,,,,,,,,,,,,,,,,,EXPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFLX,,,,,,,,,,,,STX,,,,,,,,,,,,,WDC,,,
2010-02-26,,,,,,,,,,,,,,BIDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INCY,,,ISRG,,,,,,,,,,,,,,,,,,,,,,,,,,STX,,,,,,,,,,,,,WDC,,,
2010-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INCY,,,ISRG,,,,,,,,,,,,,,NFLX,,,,,,,,,,SIRI,,STX,,,,,,,,,,,,,,,,
2010-08-31,,AAPL,,,,,,,,,,,,BIDU,,,,,,,,,,,,,,,CTSH,CTXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-30,,,,,,,,,,,,,,BIDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ILMN,,,,,,,,LBTYA,,,,,,,,,,NFLX,,,,,,,,,,,,,SWKS,,,,,,,,,,,,,,,
2011-02-28,,AAPL,,,,,,ALXN,,,,,,BIDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWKS,,TMUS,,,,,,,,,,,,,
2011-05-31,,,,,,,,ALXN,,,,,,BIDU,BIIB,,,,,,,,,,,,,,,CTXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIRI,,,,,,,,,,,,,,,,,,
2011-08-31,,,,,,,,ALXN,,,,,,,BIIB,,,,,,CERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIRI,,,,,,,,,ULTA,,,,,,,,,
2011-11-30,,,,,,,,ALXN,,,,,,,BIIB,,,,,,,,,,,,,,,,,,EA,,,,FAST,,,,,,,,,,,,,,,,,,,,,,,,,MNST,,,,,,,,,,,,,,,,,,,,,,,,ULTA,,,,,,,,,
2012-02-29,,,,,,,,,,,,,,,BIIB,,,,,,,,,,,,,,,,,,,,,,FAST,,,,,,,,,,,,,,,,,,,,,,,,,MNST,,,,,,,,,,,,,,SBUX,,,,,,,,,,ULTA,,,,,,,,,
2012-05-31,,,,,,,,ALXN,,,,,,,,,,,,,,,,,,,,,,,,DLTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORLY,,,,,,,,,,STX,,,,,,,ULTA,,,,,,,,,
2012-08-31,AAL,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNST,,,,,,,,,,,,REGN,ROST,,,,STX,,,,,,,,,,,,,,,,
2012-11-30,AAL,,,,,,,,,,,,,,,,,,,,,,,CMCSA,,,,,,,,,,,,,,,,,,GILD,,,,,,,ILMN,,,,,,,,,,,,,,,,,,,,,,,,,REGN,,,,,,,,,,,,,,,,,,,,,
2013-02-28,AAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPE,,,,,,GILD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGN,,,SIRI,,,,,,,,,,,,,,,,,,
2013-05-31,,,,,,,,,,,,,,,,,,,,CELG,,,,,,,,,,,,,,,,,,,,,,GILD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIRI,,,,,TMUS,,,,,,,,,,WDC,,,
2013-08-30,,,,,,,,,,,,,,,,,,,,CELG,,,,,,,,,,,,,EA,,,,,,,,,GILD,,,,,,,,,,,,,,,,,,,,,,MU,,,,,,,,,,,,,,,,,,TMUS,TSLA,,,,,,,,,,,,
2013-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GILD,,,,,,,,,,,,,,,,,,,,,,MU,,,,,,,,,,,,,,,STX,,,,TSLA,,,,,,,,,WDC,,,
2014-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GILD,,,,,,,ILMN,,,,,,,,,,,,,,,MU,,,,,,,,,,,,,,,,,,,TSLA,,,,,,,,,,WYNN,,
2014-05-30,,,,,,,,,,,,,AVGO,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,ILMN,,,,,,,,,,,,,,,MU,,MYL,,,,,,,,,,,,,,SWKS,,,,,,,,,,,,,,,
2014-08-29,,,,,,,,,,,,,AVGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ILMN,,,,,,,,,,MAR,,,,,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDC,,,
2014-11-28,,,,,,,,,,,,,AVGO,,,,,,,,,,,,,,,,,,,,EA,,,,,FB,,,,,,,,,,,,,,,,,,,,,MAR,,,,,,,,,,,,,,,,,,,,,SWKS,,,,,,,,,,,,,,,
2015-02-27,,AAPL,,,,,,,,,,,AVGO,,,,,,,,,,,,,,,,,,,,EA,,,,,,,,,,,,,HOLX,,,,,,,,,,,,LRCX,,,,,,,,,,,,,,,,,,,,,,SWKS,,,,,,,,,,,,,,,
2015-05-29,,,,,,,,,,,,,AVGO,,,,BMRN,,,,,,,,,,,,,,,,EA,,,,,,,,,,,,,,,,,INCY,,,,,,,,,,,,,,,,,,,,,,,,REGN,,,,,,,,,,,,,,,,,,,,,
2015-08-31,,,,,,,,,,,,,,,,,BMRN,,,,,,,,,,,,,,,,EA,,,,,,,,,,,,,HOLX,,,,INCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWKS,,,,,,,,,,,,,,,
2015-11-30,,,,,,,,,,,,ATVI,,,,,,,,,,,,,,,,,,,,,EA,,,,,,,,,,,,,HOLX,,,,,,,,,,,,,,,,,,,,,,,ORLY,,,,,,,SBUX,,,,,,,,,,,,,,,,,,,
2016-02-29,,,,,,,,,,,,ATVI,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVDA,,,,,,,,SBUX,,,,,,,,,,ULTA,,,,,,,,,
2016-05-31,,,,,,,,,,,AMZN,ATVI,,,,,,,,,,,,,,,,,,CTXS,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,,,
